,alpha,n_dim,n_cals,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg,runtime_1std
0,0.1,2,30,100,0.8718,0.057655542805194505,28.55283076444295,6.63824911239963,7.408455159518057,0.00039901256561279295,0.0004912189144157596
1,0.1,2,50,100,0.87896,0.050988990691297004,29.503432608686456,5.859626903688287,7.562019226695769,0.0005110478401184082,0.0005421672722240197
2,0.1,2,100,100,0.8927400000000002,0.03235491937991515,29.919868598688854,4.1949947725485535,7.843845364030703,0.0011729645729064942,0.00037513725240717903
3,0.1,2,300,100,0.89906,0.020594115075855436,30.307778858027664,2.333069221410915,7.819135984418349,0.00551769495010376,0.0006970539124165392
4,0.1,2,500,100,0.8986200000000001,0.018194671214563377,30.374256881041173,1.7425806606802214,7.8644321804097395,0.01501929759979248,0.0006645401670318917
5,0.1,2,1000,100,0.9008200000000002,0.014024783258736863,30.51808732793357,1.178708024817597,7.834886577339316,0.06817530393600464,0.0022811091257158595
6,0.1,10,30,100,0.72382,0.07929644928171041,16431117884005.133,9654909750125.959,48.958736425816184,0.0005723381042480469,0.0005573014236739285
7,0.1,10,50,100,0.81914,0.054724474239667954,35735469829680.66,22696028858559.957,52.15838871907415,0.0010126209259033203,0.0003023462087271192
8,0.1,10,100,100,0.82848,0.03662324701910279,26251248546786.62,9194380136943.072,48.89839619098738,0.0024932265281677247,0.0005251912998101669
9,0.1,10,300,100,0.8761199999999999,0.022946261331443733,39382592909867.07,9413075647210.385,50.5856340407316,0.023824899196624755,0.0008542267809359637
10,0.1,10,500,100,0.8885600000000001,0.01917928175101584,42511851154297.83,8576573445990.052,51.24920896484957,0.07600390195846557,0.0019694570050476706
11,0.1,10,1000,100,0.8982400000000001,0.015536935464767948,45644426367475.58,5150197489786.629,50.94855391792535,0.36240155935287477,0.004993373343409029
