,alpha,n_dim,n_cals,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg,runtime_1std
0,0.1,2,30,100,0.9039400000000002,0.04932223871970161,4.044536347624566,0.9958077166649137,1.9624677267201145,3.0052661895751952e-05,0.00017175472006004591
1,0.1,2,50,100,0.90134,0.045465986842869247,3.981891385219277,0.7383707019359464,1.9775215093963254,2.0220279693603516e-05,0.00014225502109938736
2,0.1,2,100,100,0.9074800000000001,0.03089718368388872,3.9904998543376093,0.5591535066633635,1.987662919561548,5.00941276550293e-05,0.0002194615877274866
3,0.1,2,300,100,0.9044400000000004,0.019621838997824995,3.8714572830233376,0.3200315345510677,1.9657630060803015,2.0029544830322267e-05,0.0001409205095363008
4,0.1,2,500,100,0.9000800000000001,0.017465510024160212,3.826692667672282,0.22135633542624705,1.958643340264344,4.930257797241211e-05,0.0002160709448177825
5,0.1,2,1000,100,0.9015800000000002,0.013900933767051765,3.828814014369164,0.14056897326830523,1.9522578188672073,9.401798248291015e-05,0.0003027267799691315
6,0.1,10,30,100,0.9004999999999999,0.05411799678256371,20844.590929405018,21501.668520201387,2.5906426552641033,9.990930557250977e-05,0.0003012413200396824
7,0.1,10,50,100,0.9006000000000001,0.04118104889240667,16169.383565719447,11083.18421362003,2.5807890879946465,2.9909610748291016e-05,0.00017093062925129825
8,0.1,10,100,100,0.9049800000000002,0.033582697565228074,14636.643925846432,6873.617545257958,2.586413683388047,9.996891021728516e-06,9.996891021728509e-05
9,0.1,10,300,100,0.9027,0.02123913863839611,13141.376570678804,3095.9625123235933,2.57975137859237,2.002716064453125e-05,0.00014089638053533943
10,0.1,10,500,100,0.9026600000000002,0.01865379426293859,12688.987976073078,2583.726362247629,2.5763283722795958,3.0517578125e-05,0.0001744341402071799
11,0.1,10,1000,100,0.9030200000000002,0.016197006831604122,12637.082369774762,1504.8884964335377,2.5655269527840727,7.958412170410157e-05,0.0002712514637215199
